rank,name,country,director,score
232,末路狂花,美国,"
                            乔治·米勒 George Miller",8.6
233,这个男人来自地球,美国,"
                            托马斯·麦卡锡 Thomas McCarthy",8.8
234,黑鹰坠落,美国,"
                            Steven Spielberg",8.5
235,发条橙,美国,"
                            雷德利·斯科特 Ridley Scott",8.7
236,遗愿清单,美国,"
                            理查德·沙因克曼 Richard Schenkman",8.5
237,变脸,韩国,"
                            雷德利·斯科特 Ridley Scott",8.6
238,勇闯夺命岛,美国,"
                            Stanley Kubrick",8.5
239,国王的演讲,日本,"
                            罗伯·莱纳 Rob Reiner",8.6
240,我爱你,中国大陆,"
                            吴宇森 John Woo",8.4
241,黄金三镖客,中国大陆,"
                            迈克尔·贝 Michael Bay",8.6
242,千钧一发,美国,"
                            汤姆·霍珀 Tom Hooper",8.4
